user_id,item_id,rating
72,15,4.8
150,97,4.2
146,13,4.2
71,56,3.5
259,43,4.2
73,64,4.8
195,43,4.5
172,25,4.3
40,44,3.2
33,100,3.5
292,36,5.0
276,6,5.0
19,0,4.9
57,124,4.1
109,168,4.0
239,136,5.0
223,62,2.7
236,113,4.0
159,181,5.0
258,76,5.0
297,36,5.0
272,26,3.1
76,179,5.0
93,181,4.5
273,158,5.0
45,79,3.0
134,48,3.7
239,67,5.0
42,20,4.0
117,46,3.0
257,40,4.8
210,103,3.5
167,19,5.0
51,7,4.7
232,95,3.3
125,162,4.2
296,37,2.2
62,133,4.7
21,158,5.0
125,69,5.0
233,141,3.3
48,39,5.0
221,58,4.6
14,143,4.5
265,94,4.1
282,36,4.4
246,123,4.1
250,165,4.4
107,124,5.0
197,78,2.4
13,81,3.8
141,79,3.3
21,106,4.0
257,51,5.0
11,67,4.6
35,163,4.9
79,33,4.8
2,35,2.8
101,140,3.8
206,98,3.2
227,16,4.6
45,124,2.8
60,90,5.0
57,82,4.3
21,145,5.0
25,29,3.1
141,56,2.4
142,47,5.0
141,64,4.3
9,178,2.9
180,103,2.8
263,191,3.8
93,25,4.5
37,115,3.1
30,0,5.0
234,78,4.5
26,44,5.0
242,115,2.1
209,170,4.0
16,103,4.5
255,70,4.8
210,190,4.8
176,193,3.7
133,100,3.8
176,192,5.0
179,165,4.6
130,67,4.9
44,77,2.3
33,199,2.5
168,118,3.1
172,120,2.9
56,96,3.6
217,159,4.3
246,4,3.2
41,133,3.0
61,100,3.3
127,164,4.1
229,187,4.2
280,53,4.5
67,100,4.2
2,144,3.1
197,34,4.6
280,6,5.0
184,98,2.2
158,144,3.8
2,37,2.0
204,38,3.4
297,145,5.0
148,40,4.3
212,14,4.3
5,169,5.0
175,152,2.6
115,120,2.0
124,127,2.9
276,47,3.8
250,139,3.1
244,135,5.0
160,164,4.5
98,19,3.8
239,108,5.0
8,148,1.8
272,103,2.2
234,147,5.0
145,171,4.2
68,40,5.0
152,99,4.8
244,190,3.5
181,118,4.5
74,42,4.5
123,131,2.9
261,60,2.5
77,178,2.6
295,98,1.4
242,27,5.0
68,147,4.2
204,76,5.0
188,167,3.9
173,187,5.0
56,43,3.2
32,79,4.7
14,113,3.1
271,75,5.0
71,80,4.7
174,133,4.1
161,148,4.1
130,82,4.3
254,151,4.4
263,82,4.1
135,21,5.0
252,185,4.1
81,8,4.2
225,198,3.5
21,18,3.9
269,39,5.0
264,134,5.0
35,199,4.4
109,47,4.1
102,122,4.5
293,29,5.0
272,97,2.1
42,103,3.5
260,82,2.2
281,59,3.0
267,58,3.2
21,162,5.0
45,184,4.0
65,153,2.7
219,24,4.3
10,88,4.5
127,24,3.7
140,85,2.7
259,83,4.7
171,6,5.0
250,124,2.1
252,132,3.0
125,20,5.0
109,171,3.0
269,88,5.0
168,132,3.5
2,82,2.6
149,2,5.0
41,85,3.2
104,14,4.2
174,22,4.6
225,4,3.6
214,103,4.4
77,122,1.6
97,40,5.0
230,191,4.4
16,193,4.7
16,65,3.3
265,131,4.4
182,148,3.5
15,54,5.0
201,65,2.7
260,176,4.0
196,3,5.0
144,92,5.0
261,11,4.2
83,68,4.2
2,12,3.4
176,65,3.6
249,28,3.1
178,186,5.0
257,142,4.2
287,53,4.8
282,143,4.5
99,4,3.9
255,22,5.0
206,0,5.0
85,161,5.0
93,65,2.6
239,122,4.1
23,160,4.9
283,131,2.8
296,54,4.8
261,24,4.0
238,16,4.1
173,52,5.0
45,48,3.8
18,92,5.0
210,46,3.4
44,92,2.6
142,119,5.0
114,76,5.0
246,105,3.5
67,175,4.5
9,172,3.9
19,82,2.9
1,46,4.0
296,187,3.7
167,34,4.5
62,28,3.8
18,116,4.9
13,33,4.3
60,139,3.5
66,155,1.2
170,30,4.1
233,75,5.0
224,9,4.3
73,184,5.0
77,167,3.3
21,29,5.0
16,181,5.0
236,27,5.0
231,59,3.2
203,155,2.8
298,106,3.4
