user_id,item_id,rating
109,21,5.0
100,26,4.7
25,99,5.0
86,44,4.9
110,61,2.3
56,63,5.0
18,24,5.0
39,51,5.0
37,55,5.0
0,41,5.0
18,29,4.2
101,18,5.0
127,85,4.0
51,55,5.0
17,45,5.0
52,81,5.0
63,25,5.0
114,33,5.0
0,31,3.3
139,16,3.5
84,73,5.0
98,16,4.6
124,72,5.0
73,57,4.1
44,45,5.0
127,19,5.0
25,83,4.9
87,77,5.0
30,66,4.2
68,17,3.8
7,82,5.0
28,54,2.7
31,8,5.0
141,86,5.0
128,25,4.2
115,29,4.0
117,62,3.5
126,76,5.0
129,26,4.9
79,74,2.5
137,35,5.0
87,46,5.0
48,21,5.0
149,49,5.0
140,85,4.6
119,64,4.1
17,83,4.2
72,24,4.8
30,88,5.0
148,24,5.0
15,14,4.0
81,35,5.0
51,35,5.0
53,59,4.5
58,27,5.0
111,79,5.0
146,0,4.2
58,1,5.0
105,69,4.7
77,52,4.7
55,98,5.0
65,74,4.5
137,75,4.8
35,94,3.4
106,88,5.0
32,90,5.0
30,7,3.5
149,35,5.0
50,89,5.0
145,0,5.0
92,36,3.7
31,42,5.0
100,75,5.0
109,88,5.0
107,30,5.0
126,70,4.6
10,61,2.2
148,36,4.3
30,48,4.4
6,20,5.0
88,5,5.0
18,96,4.0
70,45,5.0
31,67,5.0
67,60,5.0
91,93,2.8
118,87,4.6
22,48,5.0
112,30,4.1
137,17,3.8
104,38,5.0
56,29,4.4
82,33,5.0
121,17,4.8
7,66,5.0
25,47,4.6
50,17,4.1
86,77,4.7
106,97,5.0
61,80,5.0
13,85,3.6
144,60,4.9
130,21,5.0
149,40,5.0
54,34,4.4
59,75,5.0
133,19,5.0
134,97,5.0
140,53,3.8
32,75,5.0
16,7,3.8
120,79,5.0
71,46,5.0
146,67,4.6
74,43,3.9
54,52,5.0
8,36,4.9
4,0,3.6
62,74,4.3
56,15,4.4
58,79,5.0
29,11,4.0
126,9,5.0
123,80,4.4
134,24,5.0
4,38,2.8
45,80,4.7
26,50,1.8
21,8,4.6
16,19,5.0
107,34,4.8
62,64,5.0
111,46,5.0
10,96,4.8
103,10,5.0
85,49,5.0
127,32,3.3
97,94,3.1
22,28,5.0
133,43,5.0
94,34,4.8
59,33,5.0
22,1,5.0
42,36,4.8
132,62,4.1
59,79,5.0
129,8,4.1
1,86,4.4
79,91,5.0
38,64,4.5
79,81,5.0
31,27,5.0
124,96,4.4
103,17,5.0
28,0,5.0
146,69,4.2
31,49,5.0
45,27,5.0
124,71,3.3
124,97,5.0
0,84,4.4
60,46,4.7
8,0,5.0
123,59,5.0
27,63,5.0
46,60,5.0
3,81,5.0
7,76,4.2
129,81,5.0
63,73,5.0
102,43,4.5
136,54,3.2
128,69,3.8
116,46,5.0
119,19,3.6
134,29,4.2
15,88,5.0
19,14,3.6
78,11,3.6
147,90,5.0
4,5,5.0
77,60,5.0
10,93,3.2
132,48,4.6
47,31,3.9
8,23,3.1
115,64,5.0
71,2,4.7
96,12,5.0
145,67,5.0
128,14,3.4
124,85,3.6
11,31,4.8
118,13,5.0
11,62,4.6
97,87,4.9
37,59,5.0
25,97,4.6
8,35,5.0
18,77,4.4
63,17,3.9
146,60,5.0
16,50,4.1
18,9,4.8
99,82,4.6
122,36,4.7
117,86,4.6
5,21,5.0
